Site_ID,Latitude,Longtiude,ID,Date,Sampling_method,Collector,Family,Genus,Species
site_1,47.75,-122.154,EHB9428,9/7/2016,Net AM,Bloom,Halictidae,Agapostemon,texanus
site_1,47.75,-122.154,EHB8000,5/31/2016,Blue Vane - P1,Bloom,Halictidae,Agapostemon,texanus
site_1,47.75,-122.154,EHB2756,5/26/2015,Blue Vane - P3,Olsson,Halictidae,Agapostemon,texanus
site_1,47.75,-122.154,EHB8006,5/31/2016,Blue Vane - P3,Bloom,Halictidae,Agapostemon,texanus
site_1,47.75,-122.154,EHB8005,5/31/2016,Blue Vane - P3,Bloom,Halictidae,Agapostemon,texanus
site_2,47.662,-122.639,EHB2911,5/29/2015,Bowls - P12,Olsson,Halictidae,Agapostemon,texanus
site_2,47.662,-122.639,EHB2913,5/29/2015,Bowls - P12,Olsson,Halictidae,Agapostemon,texanus
site_2,47.662,-122.639,EHB4048,7/14/2015,Bowls - P2,Bloom,Halictidae,Agapostemon,texanus
site_2,47.662,-122.639,EHB2909,5/29/2015,Bowls - P6,Olsson,Halictidae,Agapostemon,texanus
site_2,47.662,-122.639,EHB2907,5/29/2015,Bowls - P7,Olsson,Halictidae,Agapostemon,texanus
site_2,47.662,-122.639,EHB2888,5/29/2015,Blue Vane - P2,Olsson,Halictidae,Agapostemon,texanus
site_2,47.662,-122.639,EHB2916,5/29/2015,Bowls - P1,Olsson,Halictidae,Agapostemon,texanus
site_2,47.662,-122.639,EHB2908,5/29/2015,Bowls - P14,Olsson,Halictidae,Agapostemon,texanus
site_2,47.662,-122.639,EHB2903,5/29/2015,Blue Vane - P3,Olsson,Halictidae,Agapostemon,texanus
site_2,47.662,-122.639,EHB2891,5/29/2015,Blue Vane - P1 ,Olsson,Halictidae,Agapostemon,texanus
site_2,47.662,-122.639,EHB2904,5/29/2015,Blue Vane - P3,Olsson,Halictidae,Agapostemon,texanus
site_2,47.662,-122.639,EHB2889,5/29/2015,Blue Vane - P2,Olsson,Halictidae,Agapostemon,texanus
site_2,47.662,-122.639,EHB2906,5/29/2015,Blue Vane - P3,Olsson,Halictidae,Agapostemon,texanus
site_2,47.662,-122.639,EHB2900,5/29/2015,Blue Vane - P3,Olsson,Halictidae,Agapostemon,texanus
site_2,47.662,-122.639,EHB2886,5/29/2015,Blue Vane - P2,Olsson,Halictidae,Agapostemon,texanus
site_2,47.662,-122.639,EHB2902,5/29/2015,Blue Vane - P3,Olsson,Halictidae,Agapostemon,texanus
site_2,47.662,-122.639,EHB2898,5/29/2015,Blue Vane - P3,Olsson,Halictidae,Agapostemon,texanus
site_3,47.57,-122.316,EHB2422,6/5/2015,Blue Vane - P2,Bloom,Halictidae,Agapostemon,texanus
site_3,47.57,-122.316,EHB5421,7/17/2015,Blue Vane - P2,Olsson,Halictidae,Agapostemon,texanus
site_3,47.57,-122.316,EHB2414,6/5/2015,Blue Vane - P3,Bloom,Halictidae,Agapostemon,texanus
site_3,47.57,-122.316,EHB7904,5/26/2016,Net PM,Bloom,Halictidae,Agapostemon,texanus
site_3,47.57,-122.316,EHB1214,7/16/2014,Blue Vane,Bloom,Halictidae,Agapostemon,texanus
site_3,47.57,-122.316,EHB1215,7/16/2014,Blue Vane,Bloom,Halictidae,Agapostemon,texanus
site_3,47.57,-122.316,EHB6955,9/10/2015,Bowls - P4,Bloom,Halictidae,Agapostemon,texanus
site_3,47.57,-122.316,EHB5411,7/17/2015,Blue Vane - P1,Olsson,Halictidae,Agapostemon,texanus
site_3,47.57,-122.316,EHB2400,6/5/2015,Bowls - P10,Bloom,Halictidae,Agapostemon,texanus
site_3,47.57,-122.316,EHB2411,6/5/2015,Bowls - P3,Bloom,Halictidae,Agapostemon,texanus
site_3,47.57,-122.316,EHB1216,7/16/2014,Blue Vane,Bloom,Halictidae,Agapostemon,texanus
site_3,47.57,-122.316,EHB5413,7/17/2015,Blue Vane - P1,Olsson,Halictidae,Agapostemon,texanus
site_3,47.57,-122.316,EHB330,5/15/2014,Blue Vane,Bloom,Halictidae,Agapostemon,texanus
site_3,47.57,-122.316,EHB5433,7/17/2015,Bowls - P4 ,Olsson,Halictidae,Agapostemon,texanus
site_3,47.57,-122.316,EHB5412,7/17/2015,Blue Vane - P1,Olsson,Halictidae,Agapostemon,texanus
site_3,47.57,-122.316,EHB329,5/15/2014,Blue Vane,Bloom,Halictidae,Agapostemon,texanus
site_3,47.57,-122.316,EHB5416,7/17/2015,Blue Vane - P2,Olsson,Halictidae,Agapostemon,texanus
site_3,47.57,-122.316,EHB6953,9/10/2015,Blue Vane - P2,Bloom,Halictidae,Agapostemon,texanus
site_3,47.57,-122.316,EHB328,5/15/2014,Blue Vane,Bloom,Halictidae,Agapostemon,texanus
site_3,47.57,-122.316,EHB6945,9/10/2015,Net PM,Bloom,Halictidae,Agapostemon,texanus
site_3,47.57,-122.316,EHB2370,6/5/2015,Blue Vane - P1,Bloom,Halictidae,Agapostemon,texanus
site_3,47.57,-122.316,EHB2374,6/5/2015,Blue Vane - P1,Bloom,Halictidae,Agapostemon,texanus
site_3,47.57,-122.316,EHB2371,6/5/2015,Blue Vane - P1,Bloom,Halictidae,Agapostemon,texanus
site_4,47.589,-122.291,EHB3866,7/17/2015,Blue Vane - P1,Bloom,Halictidae,Agapostemon,texanus
site_4,47.589,-122.291,EHB145,5/20/2014,Bowls,Bloom,Halictidae,Agapostemon,texanus
site_4,47.589,-122.291,EHB146,5/20/2014,Bowls,Bloom,Halictidae,Agapostemon,texanus
site_4,47.589,-122.291,EHB147,5/20/2014,Bowls,Bloom,Halictidae,Agapostemon,texanus
site_4,47.589,-122.291,EHB3888,7/17/2015,Bowls - P14,Bloom,Halictidae,Agapostemon,texanus
site_4,47.589,-122.291,EHB2671,6/5/2015,Blue Vane - P3,Olsson,Halictidae,Agapostemon,texanus
site_4,47.589,-122.291,EHB3870,7/17/2015,Blue Vane - P2,Bloom,Halictidae,Agapostemon,texanus
site_4,47.589,-122.291,EHB1289,7/17/2014,Blue Vane,Bloom,Halictidae,Agapostemon,texanus
site_4,47.589,-122.291,EHB2063,9/15/2014,Blue Vane,Bloom,Halictidae,Agapostemon,texanus
site_4,47.589,-122.291,EHB2079,9/15/2014,Net PM,Bloom,Halictidae,Agapostemon,texanus
site_4,47.589,-122.291,EHB6384,9/10/2015,Blue Vane - P3,Bernstien,Halictidae,Agapostemon,texanus
site_4,47.589,-122.291,EHB2670,6/5/2015,Blue Vane - P3,Olsson,Halictidae,Agapostemon,texanus
site_4,47.589,-122.291,EHB6381,9/10/2015,Blue Vane - P1,Bernstien,Halictidae,Agapostemon,texanus
site_4,47.589,-122.291,EHB2071,9/15/2014,Net AM,Bloom,Halictidae,Agapostemon,texanus
site_4,47.589,-122.291,EHB2663,6/5/2015,Blue Vane - P1,Olsson,Halictidae,Agapostemon,texanus
site_4,47.589,-122.291,EHB3877,7/17/2015,Blue Vane - P3,Bloom,Halictidae,Agapostemon,texanus
site_4,47.589,-122.291,EHB2666,6/5/2015,Blue Vane - P1,Olsson,Halictidae,Agapostemon,texanus
site_5,47.057,-122.97,EHB129,5/7/2014,Blue Vane,Bloom,Halictidae,Agapostemon,texanus
