Site_ID,Latitude,Longtiude,Date,Bout,Family,Genus,Specific_epithet,Sub_species,Variety,Abundance,Common_name
site_1,47.75,-122.154,9/14/15,Late,Asteraceae,Taraxacum,NA,NA,NA,10,dandelion
site_1,47.75,-122.154,7/29/16,Mid,Lamiaceae,Lavandula,NA,NA,NA,2,lavender
site_1,47.75,-122.154,9/7/16,Late,Fabaceae,Trifolium,pratense,NA,NA,1,redclover
site_1,47.75,-122.154,9/14/15,Late,Lamiaceae,Lavandula,NA,NA,NA,4,lavender
site_1,47.75,-122.154,5/26/15,Early,Rosaceae,Fragaria,NA,NA,NA,4,strawberry
site_1,47.75,-122.154,7/29/16,Mid,Fabaceae,Trifolium,pratense,NA,NA,1,redclover
site_1,47.75,-122.154,7/8/15,Mid,Solanaceae,Solanum,lycopersicum,NA,NA,2,tomato
site_1,47.75,-122.154,5/26/15,Early,Fabaceae,Pisum,sativum,NA,NA,12,pea
site_1,47.75,-122.154,9/7/16,Late,Lamiaceae,Mentha,piperita,NA,NA,5,peppermint
site_1,47.75,-122.154,9/7/16,Late,Asteraceae,Helianthus,annuum,NA,NA,7,sunflower
site_1,47.75,-122.154,7/29/16,Mid,Fabaceae,Trifolium,repens,NA,NA,2,whiteclover
site_1,47.75,-122.154,7/8/15,Mid,Brassicaceae,Capsella,bursa-pastoris,NA,NA,1,sheppardspurse
site_1,47.75,-122.154,5/26/15,Early,Lamiaceae,Mentha,spicata,NA,NA,1,spearmint
site_1,47.75,-122.154,9/14/15,Late,Asteraceae,Hypochaeris,radicata,NA,NA,13,flatweedcatsear
site_1,47.75,-122.154,7/8/15,Mid,Violaceae,Viola,NA,NA,NA,4,violet
site_1,47.75,-122.154,5/26/15,Early,Lamiaceae,Lamium,amplexicaule,NA,NA,1,henbit
site_1,47.75,-122.154,7/29/16,Mid,Asteraceae,Hypochaeris,radicata,NA,NA,17,flatweedcatsear
site_1,47.75,-122.154,9/7/16,Late,Apiaceae,Foeniculum,vulgare,NA,NA,5,bronzefennel
site_1,47.75,-122.154,7/29/16,Mid,Asteraceae,Zinnia,NA,NA,NA,1,zinnia
site_1,47.75,-122.154,7/29/16,Mid,Amaranthaceae,Amaranthus,palmeri,NA,NA,26,pigweed
site_1,47.75,-122.154,5/26/15,Early,Caryophyllaceae,Stellaria,NA,NA,NA,3,chickweed
site_1,47.75,-122.154,7/8/15,Mid,Fabaceae,Vicia,NA,NA,NA,1,vetch
site_1,47.75,-122.154,7/29/16,Mid,Papaveraceae,Eschscholzia,californica,NA,NA,2,Californiapoppy
site_1,47.75,-122.154,9/14/15,Late,Polygonaceae,Polygonum,NA,NA,NA,18,smartweed
site_1,47.75,-122.154,7/29/16,Mid,Asteraceae,Calendula,NA,NA,NA,3,calendula
site_1,47.75,-122.154,7/8/15,Mid,Fabaceae,Phaseolus,vulgaris,NA,NA,7,bushbean
site_1,47.75,-122.154,7/8/15,Mid,Polygonaceae,Polygonum,NA,NA,NA,5,smartweed
site_1,47.75,-122.154,7/8/15,Mid,Boraginaceae,Borago,NA,NA,NA,2,borage
site_1,47.75,-122.154,5/26/15,Early,Brassicaceae,Thlaspi,arvense,NA,NA,16,fieldpennycruss
site_1,47.75,-122.154,7/8/15,Mid,Asteraceae,Zinnia,NA,NA,NA,9,zinnia
site_1,47.75,-122.154,9/7/16,Late,Papaveraceae,Eschscholzia,californica,NA,NA,4,Californiapoppy
site_1,47.75,-122.154,9/14/15,Late,Lamiaceae,Thymus,NA,NA,NA,2,culinarythyme
site_1,47.75,-122.154,9/14/15,Late,Asteraceae,NA,NA,NA,NA,10,orangeaster
site_1,47.75,-122.154,5/26/15,Early,Rosaceae,Rubus,NA,NA,NA,7,raspberry
site_1,47.75,-122.154,9/7/16,Late,Lamiaceae,Agastache,foeniculum,NA,NA,4,anisehyssop
site_1,47.75,-122.154,9/7/16,Late,Asteraceae,Hypochaeris,radicata,NA,NA,2,flatweedcatsear
site_1,47.75,-122.154,9/7/16,Late,Asteraceae,Zinnia,NA,NA,NA,16,zinnia
site_1,47.75,-122.154,5/26/15,Early,Brassicaceae,Brassica,oleracea,NA,NA,1,cabbage
site_1,47.75,-122.154,7/8/15,Mid,Lamiaceae,Nepeta,NA,NA,NA,12,catmint
site_1,47.75,-122.154,7/8/15,Mid,Asteraceae,Centaurea,cyanus,NA,NA,2,bachelorsbutton
site_1,47.75,-122.154,5/26/15,Early,Rosaceae,Rosa,nutkana,NA,NA,3,nootkarose
site_1,47.75,-122.154,7/8/15,Mid,Asteraceae,Hypochaeris,radicata,NA,NA,55,flatweedcatsear
site_1,47.75,-122.154,5/26/15,Early,Ranunculaceae,Ranunculus,repens,NA,NA,70,creepingbuttercup
site_1,47.75,-122.154,7/8/15,Mid,Fabaceae,Trifolium,pratense,NA,NA,12,redclover
site_1,47.75,-122.154,5/26/15,Early,Asteraceae,Taraxacum,NA,NA,NA,62,dandelion
site_1,47.75,-122.154,9/14/15,Late,Lamiaceae,Rosmarinus,officinalis,NA,NA,20,rosemary
site_1,47.75,-122.154,9/7/16,Late,Amaranthaceae,Amaranthus,palmeri,NA,NA,5,pigweed
site_1,47.75,-122.154,5/26/15,Early,Brassicaceae,Capsella,bursa-pastoris,NA,NA,7,sheppardspurse
