Unique Specimen Number,Label Date,Site,Display Date,Station,Collection Method,Specimen Kind ,Order,Family,Genus,Subgenus,Species,Subspecies,Nr.,Label Name,Short label name,Sex,Vial Duplicates,Voucher Specimen,Questionable or Incomplete Identification,Broken Specimen,Entered by,Entered Date,NOTES,Count,18,Jgardner
1,20160610,SCL,10/Jun/2016,SCL1,T,P,,,Bombus,Pyrobombus,flavifrons,,,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,,,,,VE,41327,Corrected from B. sitkensis [WRP 20240208],1,0,0
2,20160610,SCL,10/Jun/2016,SCL1,T,P,,,Bombus,Pyrobombus,flavifrons,,,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,,,,,VE,41327,Corrected from B. sitkensis [WRP 20240208],1,0,0
3,20150620,SCL,20/Jun/2015,SCL2,T,P,,,Bombus,Pyrobombus,flavifrons,,,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,,,,,VE,41327,Corrected from B. sitkensis [WRP 20240208],1,0,0
4,20150510,SCL,10/May/2015,SCL2,T,P,,,Bombus,Pyrobombus,flavifrons,,,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,,,,,VE,41327,Corrected from B. sitkensis [WRP 20240208],1,0,0
5,20160327,SCL,27/Mar/2016,SCL2,T,P,,,Bombus,Pyrobombus,sitkensis,,,Bombus (Pyrobombus) sitkensis,Bombus sitkensis,F,,,,,VE,41327,specimen missing [WRP 20240208],1,0,0
6,20150620,SCL,20/Jun/2015,SCL2,T,P,,,Bombus,Pyrobombus,flavifrons,,,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,,,,,VE,41327,Corrected from B. sitkensis [WRP 20240208],1,0,0
7,20160610,SCL,10/Jun/2016,SCL2,N,P,,,Bombus,Pyrobombus,flavifrons,,,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,,,,,VE,41327,Corrected from B. sitkensis [WRP 20240208],1,0,0
8,20160610,SCL,10/Jun/2016,SCL4,T,P,,,Bombus,Pyrobombus,flavifrons,,,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,,,,,VE,41327,Corrected from B. sitkensis [WRP 20240208],1,0,0
9,20160610,POS,10/Jun/2016,POS1,T,P,,,Bombus,Pyrobombus,flavifrons,,,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,,,,,VE,41327,Corrected from B. sitkensis [WRP 20240208],1,0,0
10,20160610,POS,10/Jun/2016,POS1,T,P,,,Bombus,Pyrobombus,flavifrons,,,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,,,,,VE,41327,Corrected from B. sitkensis [WRP 20240208],1,0,0
11,20140714,POS,14/Jul/2014,POS1,T,P,,,Bombus,Pyrobombus,flavifrons,,,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,,,,,VE,41327,Corrected from B. sitkensis [WRP 20240208],1,0,0
12,20160610,POS,10/Jun/2016,POS1,T,P,,,Bombus,Pyrobombus,flavifrons,,,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,,,,,VE,41327,Corrected from B. sitkensis [WRP 20240208],1,0,0
13,20140714,POS,14/Jul/2014,POS1,T,P,,,Bombus,Pyrobombus,flavifrons,,,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,,,,,VE,41327,Corrected from B. sitkensis [WRP 20240208],1,0,0
14,20160610,POS,10/Jun/2016,POS1,T,P,,,Bombus,Pyrobombus,flavifrons,,,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,,,,,VE,41327,Corrected from B. sitkensis [WRP 20240208],1,0,0
15,20150620,POS,20/Jun/2015,POS2,T,P,,,Bombus,Pyrobombus,flavifrons,,,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,,,,,VE,41327,Corrected from B. sitkensis [WRP 20240208],1,0,0
16,20150620,POS,20/Jun/2015,POS2,T,P,,,Bombus,Pyrobombus,flavifrons,,,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,,,,,VE,41327,Corrected from B. sitkensis [WRP 20240208],1,0,0
17,20160610,POS,10/Jun/2016,POS2,T,P,,,Bombus,Pyrobombus,flavifrons,,,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,,,,,VE,41327,Corrected from B. sitkensis [WRP 20240208],1,0,0
