Unique Specimen Number,Label Date,Site,Display Date,Station,Collection Method,Specimen Kind ,Genus,Subgenus,Species,Subspecies,New record,Label Name,Short label name,Sex,Voucher Specimen,Questionable or Incomplete Identification,Broken Specimen,Entered by,Entered Date,NOTES,Count
1,20160610,SCL,10-Jun-16,SCL1,T,P,Bombus,Pyrobombus,flavifrons,NA,N,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,N,N,N,VE,41327,Corrected from B. sitkensis [WRP 20240208],1
2,20160610,SCL,10-Jun-16,SCL1,T,P,Bombus,Pyrobombus,flavifrons,NA,N,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,N,N,N,VE,41327,Corrected from B. sitkensis [WRP 20240208],1
3,20150620,SCL,20-Jun-15,SCL2,T,P,Bombus,Pyrobombus,flavifrons,NA,N,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,N,N,N,VE,41327,Corrected from B. sitkensis [WRP 20240208],1
4,20150510,SCL,10-May-15,SCL2,T,P,Bombus,Pyrobombus,flavifrons,NA,N,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,N,N,N,VE,41327,Corrected from B. sitkensis [WRP 20240208],1
5,20160327,SCL,27-Mar-16,SCL2,T,P,Bombus,Pyrobombus,sitkensis,NA,N,Bombus (Pyrobombus) sitkensis,Bombus sitkensis,F,N,N,N,VE,41327,specimen missing [WRP 20240208],1
6,20150620,SCL,20-Jun-15,SCL2,T,P,Bombus,Pyrobombus,flavifrons,NA,N,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,N,N,N,VE,41327,Corrected from B. sitkensis [WRP 20240208],1
7,20160610,SCL,10-Jun-16,SCL2,N,P,Bombus,Pyrobombus,flavifrons,NA,N,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,N,N,N,VE,41327,Corrected from B. sitkensis [WRP 20240208],1
8,20160610,SCL,10-Jun-16,SCL4,T,P,Bombus,Pyrobombus,flavifrons,NA,N,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,N,N,N,VE,41327,Corrected from B. sitkensis [WRP 20240208],1
9,20160610,POS,10-Jun-16,POS1,T,P,Bombus,Pyrobombus,flavifrons,NA,N,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,N,N,N,VE,41327,Corrected from B. sitkensis [WRP 20240208],1
10,20160610,POS,10-Jun-16,POS1,T,P,Bombus,Pyrobombus,flavifrons,NA,N,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,N,N,N,VE,41327,Corrected from B. sitkensis [WRP 20240208],1
11,20140714,POS,14-Jul-14,POS1,T,P,Bombus,Pyrobombus,flavifrons,NA,N,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,N,N,N,VE,41327,Corrected from B. sitkensis [WRP 20240208],1
12,20160610,POS,10-Jun-16,POS1,T,P,Bombus,Pyrobombus,flavifrons,NA,N,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,N,N,N,VE,41327,Corrected from B. sitkensis [WRP 20240208],1
13,20140714,POS,14-Jul-14,POS1,T,P,Bombus,Pyrobombus,flavifrons,NA,N,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,N,N,N,VE,41327,Corrected from B. sitkensis [WRP 20240208],1
14,20160610,POS,10-Jun-16,POS1,T,P,Bombus,Pyrobombus,flavifrons,NA,N,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,N,N,N,VE,41327,Corrected from B. sitkensis [WRP 20240208],1
